360企业安全,15k-30k,经验3-5年 / 不限,“五险一金，弹性工作，餐饮补贴，节日福利”,python 开发工程师,北京·酒仙桥
Versa,10k-20k,经验1-3年 / 本科,"“AI,扁平化,弹性工作制,交通方便”",Python开发工程师,北京·酒仙桥
博尼施,6K-10K,经验1-3年 / 本科,“公分旅游，13薪+奖金，五险一金，成长期”,Python研发工程师,北京·酒仙桥
瞬联软件科技（北京）有限公司,10k-15k,经验1-3年 / 本科,"“五险一金,带薪年假,弹性工作,氛围自由”",Python软件开发工程师,北京·酒仙桥
健培,6k-10k,经验1-3年 / 不限,"“双休,五险,工作8小时,法定节假日”",python开发工程师,北京·酒仙桥
问卷网@爱调研,15k-25k,经验3-5年 / 本科,"“带薪年假,五险一金,期权奖励,定期体检”",Python开发,北京·酒仙桥
深思数盾,13k-15k,经验1-3年 / 本科,"“七险一金,年终奖,发展广阔,前景好”",python/爬虫工程师,北京·酒仙桥
点触科技,10k-15k,经验1-3年 / 大专,“五险一金，双休，班车接送，免费早餐”,Python程序员,北京·酒仙桥
Veeva,15k-20k,经验1-3年 / 本科,"“纽交所上市,云计算,SaaS,生命科学”",Python工程师,北京·酒仙桥
新东方教育行业研究院,15k-25k,经验3-5年 / 本科,"“大牛多,平台好,待遇好,流程规范”",Python工程师,北京·酒仙桥
Club Factory,15k-20k,经验1-3年 / 本科,"“高并发,高流量,技术成长快,世界级产品”",Python 开发工程师,北京·酒仙桥
众禄基金,18k-25k,经验1-3年 / 大专,"“新三板企业,福利好,团队扁平化,快速发展”",python,北京·酒仙桥
妙计旅行,8k-16k,经验1年以下 / 本科,"“免费三餐,福利待遇好,晋升空间”",Python开发,北京·酒仙桥
卓翰科技,15k-25k,经验1-3年 / 本科,“技术实力强 团队氛围佳”,Python研发工程师,北京·酒仙桥
博悦科创,8k-16k,经验1-3年 / 本科,“福利待遇好，发展空间大”,急聘Python开发,北京·酒仙桥
Veeva,20k-30k,经验3-5年 / 本科,"“纽交所上市,云计算,股票,年度旅游”",Python工程师,北京·燕莎
程创科技,15k-20k,经验1-3年 / 本科,"“高速成长,期权,创业,五险一金”",Python,北京·燕莎
华云数据,18k-28k,经验3-5年 / 本科,“绩效奖金 年终奖金 交通补贴 餐饮补贴”,Python开发工程师,北京·燕莎
新中新集团,15k-30k,经验3-5年 / 本科,"“氛围好,薪酬待遇好,平台稳定,空间大”",Python工程师,北京·燕莎
武汉佰钧成技术有限公司,11K-22K,经验1-3年 / 大专,"“平台好,技术新,大牛多”",Python开发工程师,北京·燕莎
博悦科创,8k-16k,经验1-3年 / 本科,“发展空间大，福利待遇好”,急聘python开发工程师,北京·燕莎
趣头条,20k-35k,经验3-5年 / 大专,"“平均15薪,餐补,六险一金”",Python开发工程师,北京·燕莎
