,comment,name,time
0,不能看别人在用什么网络，,@微信苹果版,2017-12-04
1,微信被封真不方便，朋友找我不到，我回不了信息，微信已成为一种习惯，而不是简单的社交只是娱乐了下，说涉赌重了点麻烦领导解封期减半，广大市民会注意，谢谢,@微信苹果版,2017-12-04
2,人生哲理-人都是被逼出来的！,@微信苹果版,2017-12-04
3,希望微信在升级时 微信视频有美颜的功能 在有点特效 就更完美了 谢谢,@微信苹果版,2017-12-04
4,微信号想更改，怎么更改啊，没有这个功能吗？,@微信苹果版,2017-12-04
5,为什么我每个月转账记录消费记录都两万以上没有微粒贷,@微信苹果版,2017-12-04
6,还是老版本好，新版朋友圈位置也不能创建，真垃圾,@微信苹果版,2017-12-04
7,发位置给朋友，位置显示店名不够充分,@微信苹果版,2017-12-04
8,发文字的时候，看不到候选的字！,@微信苹果版,2017-12-04
9,墙裂建议苹果版增加朋友圈live照片显示,@微信苹果版,2017-12-04
10,为什么要占那么多的空间呀？,@微信苹果版,2017-12-04
11,一颗星也不想给.什么东西？链接没法发.还很卡.下载的人多了懒得弄了？,@微信苹果版,2017-12-04
12,微信真好用。又方便，赞赞赞赞,@微信苹果版,2017-12-04
13,这次更新完语音功能不能用了，赶快修复,@微信苹果版,2017-12-04
14,我认为面对面红包应该能加收红包人的好友，求修复,@微信苹果版,2017-12-04
15,这次更新完后微信明显卡顿。,@微信苹果版,2017-12-04
16,每次给朋友圈的朋友状态评论或者点赞，都要慎重的考虑一下，自己的耐受力，要不然都要炸毛了！因为，一旦有很多或者其他共同的好友点赞或者评论我也会收到消息推送的提示，好烦躁啊，我认为这完全没必要推送，请关闭这个功能我们用户完全不需要！知道我为什么打四颗星了嘛？,@微信苹果版,2017-12-04
17,每次都要卸载了搞的自己的以前消息都没有了？还不如不更新！,@微信苹果版,2017-12-04
18,还是希望能出皮肤这样的，可以用付费模式，最好是有个夜间模式，晚上看好的太刺眼了！！！！,@微信苹果版,2017-12-04
19,在iPhoneX上用，发不了语音，视频聊天也没声音，但是如果把耳机插上就有声音了，也能发语音。视频的时候把耳机拔掉也能有外放的声音。,@微信苹果版,2017-12-04
20,删除聊天记录太麻烦，删除消息时多了一个提示，明显失去了苹果手机的便捷理念，只能说画蛇添足,@微信苹果版,2017-12-04
21,"苹果手机升级到最新系统11.2，微信软件无法更新,卸载之后也无法下载",@微信苹果版,2017-12-04
22,理财方便快捷.比银行好多了.,@微信苹果版,2017-12-04
23,更新后的微信太卡了，是系统问题么，还是兼容性不好,@微信苹果版,2017-12-04
24,用的微信官方的收款码。该打开的都打开了语音提示还是没有，卸载重装试试看，重装了还是没有语音提示，感觉越来越不好用了，,@微信苹果版,2017-12-04
25,聊天记录莫名其妙的丢失，丢失后进入帮助异常修复聊天记录，修复后还是没有原来的聊天记录，并且无法修复，请火速改善！,@微信苹果版,2017-12-04
26,我是把世界小众商品推荐给个性的你 咨@询微@信135-3735-3443,@微信苹果版,2017-12-04
27,很喜欢的一款交友软件，内容画面都挺真实的，感觉挺适合我在这里结束单身的。,@微信苹果版,2017-12-04
28,进入微信时希望能有个绘制图案解锁维护隐私,@微信苹果版,2017-12-04
29,现微信号无法重新甚是苦恼！！！,@微信苹果版,2017-12-04
30,用期待说话用用他就没有声音了这个版本不好,@微信苹果版,2017-12-04
31,之前也设置的使用期间可以定位 之前的版本只是定一下 或者是需要发送位置的时候定位 更新新版本之后 使用期间一直在定位 耗电还没有安全感 希望改进,@微信苹果版,2017-12-04
32,干嘛去了？在你面前,@微信苹果版,2017-12-04
33,最新更新的版本完之后，我连那个火车票的页面也选不了了，而且最底部还有广告，我点购票就出来广告页面。好像没那么好使用了，这个版本。谢谢,@微信苹果版,2017-12-04
34,怎么回事呀，每次发语音10秒就自动发出去有时候话还没说完呢，希望更新下,@微信苹果版,2017-12-04
35,顶端用色不协调，干脆有白色整体更简洁好看,@微信苹果版,2017-12-04
