,comment,name
0,不错吗？挺不错用得啊呢！！！！OK！！ 大表哥。什么时候出VIP就不错了 这个软件挺好得，但是还有需要改进得地方,用户1684747632
1,不错......,uboluo
2,挺多好玩的。非常棒 很好得应用软件，每天看很好多次 好的。我喜欢用。也喜欢里面的内容。更新快,用户1684770087
3,肯定不止我一个！肯定不止我一个！！！刚玩微信的时候随随便便起了一个微信号，现在好嫌弃啊啊啊啊，我觉得这方面要优化一下QAQ,|▍醉染 Promise、
4,非常好    一点也不卡,元   帅
5,自从有了小程序后就卡的要死，还是占内存少的老版本好用,小猪钱进
6,非常不错用，简约 这个软件挺好得，但是还有需要改进得地方 不错新得软件。不过还是不断得完善得。加油,用户1061406880
7,非常好，方便,38455438
8,看好了，我有问题，我在朋友们说话。,用户1099037001
9,"wojuedehenghao.erqiehannanliaotian,",185****1548
10,比较不错不错用的一款软件。不错不错 反正是每天都在用得东东，啥也不说了。。。你懂得 内容精良，软件趁手,用户1061423782
11,借钱非常便捷的地方，微信财主dai，非常多财主在任性地放钱，我借6千块，大半小时就到卡里呢,xedlm001
12,不错不错厉害得app。不错不错喜欢。相见恨晚 常好好用啦。手机也不卡了。十分快。我觉得的这是一款安卓必备的应用软件！！！！ 无聊时候下载的。挺好用的应用软件。赞一个,用户1684628640
13,没用过，日常无心,湖心亭对饮
14,不夸路路通浏览,笑到最后
15,同类应用软件很好多。开始想如果不行就换！！可越用越顺手。就不想再用其它得了 包含了好多方面的问题，我喜欢 不错不错得。我喜欢用。也喜欢里面得内容。更新快,用户1376728867
16,表情购买记录不能删除,朱宇
17,还好。。。。,陈＊涛
18,喜欢，喜欢 各方面都非常的好，使用起来很方便，好评 值得推荐，必看应用软件，没有之一！,用户1684639992
19,很很很的很好！！Veryveryverygood 要说这应用软件不很好的人啊呢。只能怪手机不很好！！我觉得这应用软件超很好很好！！ 超很好用的！！要什么有什么！棒棒哒,用户1684734828
20,蛮不错的。我要的都有。好揖！！ 只能说。非常很好的。能推荐的 不错不错得。我喜欢用。也喜欢里面得内容。更新快,用户1376820530
21,"升级版本
微信",冰雪
22,只能给4分，很多都是不更新不给用，因为更新太快了，一个月一次甚至两次，关键没什么用，浪费流量更新还不如更新慢一点,5201314
23,删除缓存图片视频没有全部选择键，一次只能删除几个还要一个个的点，很麻烦，发朋友圈也不智能…,走过路过别错过9968
24,感觉还可以，推荐,阳光无香
25,威cao6bb,130****2384
